"size","version","time"
100,"naive",0.002443635
100,"better",0.001217586
100,"blas",0.000143515
100,"naive",0.002450687
100,"better",0.001329366
100,"blas",0.000346622
100,"naive",0.003545563
100,"better",0.001218291
100,"blas",0.000145631
100,"naive",0.002447867
100,"better",0.001326545
100,"blas",0.00013611
100,"naive",0.00331072
100,"better",0.001374501
100,"blas",0.000147394
100,"naive",0.002464793
100,"better",0.001267305
100,"blas",0.000149862
100,"naive",0.002941531
100,"better",0.001237685
100,"blas",0.00015903
100,"naive",0.00244152
100,"better",0.00213439
100,"blas",0.000338865
100,"naive",0.002484891
100,"better",0.001236275
100,"blas",0.000154093
100,"naive",0.002464087
100,"better",0.001258842
100,"blas",0.000306071
200,"naive",0.021434876
200,"better",0.011217801
200,"blas",0.000894942
200,"naive",0.020769487
200,"better",0.010084138
200,"blas",0.000810314
200,"naive",0.024013211
200,"better",0.010990011
200,"blas",0.000911514
200,"naive",0.0208453
200,"better",0.010249868
200,"blas",0.000900231
200,"naive",0.021156309
200,"better",0.010125042
200,"blas",0.001586776
200,"naive",0.021825575
200,"better",0.010317218
200,"blas",0.001206302
200,"naive",0.026008317
200,"better",0.011801734
200,"blas",0.000962292
200,"naive",0.026414884
200,"better",0.010968148
200,"blas",0.000899174
200,"naive",0.020675339
200,"better",0.009934276
200,"blas",0.000893532
200,"naive",0.020928518
200,"better",0.00964372
200,"blas",0.000899878
300,"naive",0.074302726
300,"better",0.033446065
300,"blas",0.004676757
300,"naive",0.075595068
300,"better",0.035091376
300,"blas",0.002742301
300,"naive",0.071799499
300,"better",0.039437026
300,"blas",0.00409353
300,"naive",0.073825283
300,"better",0.036474692
300,"blas",0.002815294
300,"naive",0.073899685
300,"better",0.032260215
300,"blas",0.002802952
300,"naive",0.075180743
300,"better",0.034810693
300,"blas",0.00409494
300,"naive",0.075113041
300,"better",0.03341715
300,"blas",0.003118544
300,"naive",0.071861912
300,"better",0.035448224
300,"blas",0.002777916
300,"naive",0.072142948
300,"better",0.034254263
300,"blas",0.002801188
300,"naive",0.075683927
300,"better",0.033690075
300,"blas",0.002839976
400,"naive",0.178560611
400,"better",0.082481675
400,"blas",0.006371435
400,"naive",0.188719504
400,"better",0.079071165
400,"blas",0.008361957
400,"naive",0.179265845
400,"better",0.075443443
400,"blas",0.006722288
400,"naive",0.173097165
400,"better",0.081607185
400,"blas",0.006371434
400,"naive",0.171956802
400,"better",0.078472774
400,"blas",0.006663402
400,"naive",0.171068207
400,"better",0.084361477
400,"blas",0.008406034
400,"naive",0.180290549
400,"better",0.080133247
400,"blas",0.006362619
400,"naive",0.188528386
400,"better",0.082206281
400,"blas",0.006449011
400,"naive",0.18215413
400,"better",0.081424883
400,"blas",0.006379897
400,"naive",0.190266081
400,"better",0.08045695
400,"blas",0.006504371
500,"naive",0.384987829
500,"better",0.164099439
500,"blas",0.020211648
500,"naive",0.373005908
500,"better",0.202465216
500,"blas",0.01421046
500,"naive",0.35450551
500,"better",0.198300457
500,"blas",0.014143816
500,"naive",0.380419325
500,"better",0.199361482
500,"blas",0.013224192
500,"naive",0.353800981
500,"better",0.185364354
500,"blas",0.013214318
500,"naive",0.345215817
500,"better",0.184829081
500,"blas",0.014968587
500,"naive",0.365110462
500,"better",0.160545414
500,"blas",0.020217995
500,"naive",0.373189621
500,"better",0.17378512
500,"blas",0.019541323
500,"naive",0.37559341
500,"better",0.161762647
500,"blas",0.013768632
500,"naive",0.367795993
500,"better",0.15720719
500,"blas",0.014244664
600,"naive",0.629754025
600,"better",0.274472406
600,"blas",0.025455414
600,"naive",0.625351956
600,"better",0.268499781
600,"blas",0.026472361
600,"naive",0.630118278
600,"better",0.272566865
600,"blas",0.023371095
600,"naive",0.59852451
600,"better",0.27207179
600,"blas",0.022911987
600,"naive",0.617695233
600,"better",0.27112184
600,"blas",0.0243891
600,"naive",0.614019201
600,"better",0.268635891
600,"blas",0.024437761
600,"naive",0.636221725
600,"better",0.261082837
600,"blas",0.023697266
600,"naive",0.614690937
600,"better",0.26883512
600,"blas",0.023625685
600,"naive",0.622581092
600,"better",0.279965472
600,"blas",0.023069255
600,"naive",0.61374275
600,"better",0.263940092
600,"blas",0.027447347
700,"naive",1.003952483
700,"better",0.431887992
700,"blas",0.03714149
700,"naive",0.985679523
700,"better",0.444418233
700,"blas",0.0353643
700,"naive",0.997531329
700,"better",0.447846022
700,"blas",0.035468323
700,"naive",1.00849842
700,"better",0.441032054
700,"blas",0.03699339
700,"naive",0.99425305
700,"better",0.4311817
700,"blas",0.038329456
700,"naive",0.99253228
700,"better",0.438776011
700,"blas",0.03628181
700,"naive",0.986539908
700,"better",0.428255332
700,"blas",0.041495251
700,"naive",1.006248371
700,"better",0.480776561
700,"blas",0.037393611
700,"naive",1.020511725
700,"better",0.467921207
700,"blas",0.039101335
700,"naive",1.002927778
700,"better",0.494176003
700,"blas",0.036293093
800,"naive",1.504886741
800,"better",0.675235257
800,"blas",0.052517703
800,"naive",1.482340065
800,"better",0.677723321
800,"blas",0.05712711
800,"naive",1.489353615
800,"better",0.665510788
800,"blas",0.056247331
800,"naive",1.486989671
800,"better",0.702574703
800,"blas",0.05393628
800,"naive",1.469610594
800,"better",0.665465653
800,"blas",0.053330132
800,"naive",1.480625289
800,"better",0.67537983
800,"blas",0.053307564
800,"naive",1.480591437
800,"better",0.683891297
800,"blas",0.058582713
800,"naive",1.497059704
800,"better",0.674068447
800,"blas",0.056883805
800,"naive",1.450138032
800,"better",0.685307406
800,"blas",0.053080479
800,"naive",1.480724374
800,"better",0.681810152
800,"blas",0.053589658
900,"naive",2.100080785
900,"better",0.968505317
900,"blas",0.077770714
900,"naive",2.109150444
900,"better",0.979174094
900,"blas",0.077345105
900,"naive",2.291380739
900,"better",1.027484372
900,"blas",0.080139241
900,"naive",2.307627914
900,"better",0.982899138
900,"blas",0.075861294
900,"naive",2.22358873
900,"better",0.988545593
900,"blas",0.215807533
900,"naive",2.234106234
900,"better",1.012284468
900,"blas",0.077059838
900,"naive",2.290780584
900,"better",1.037594603
900,"blas",0.083915768
900,"naive",2.907001526
900,"better",1.285465237
900,"blas",0.214520482
900,"naive",6.066949607
900,"better",2.289645158
900,"blas",0.123653223
900,"naive",2.762891938
900,"better",3.196233417
900,"blas",0.197231323
1000,"naive",4.724111485
1000,"better",1.54274898
1000,"blas",0.105013895
1000,"naive",3.085258886
1000,"better",1.414109401
1000,"blas",0.106777332
1000,"naive",3.168498336
1000,"better",1.601240013
1000,"blas",0.131791269
1000,"naive",3.684361335
1000,"better",1.420462499
1000,"blas",0.10036182
1000,"naive",3.282703895
1000,"better",1.677501174
1000,"blas",0.180420665
1000,"naive",3.306576059
1000,"better",1.625595966
1000,"blas",0.143787296
1000,"naive",3.53467899
1000,"better",3.970634417
1000,"blas",0.249732804
1000,"naive",6.001824087
1000,"better",1.838909088
1000,"blas",0.108123976
1000,"naive",4.554590209
1000,"better",1.755466531
1000,"blas",0.175774585
1000,"naive",3.652798949
1000,"better",1.429514175
1000,"blas",0.109444526
